year,gpci_work,gpci_pe,gpci_mp,locality,loc_description,mac,mac_description
224B,1.0,1.0,1.0,0,NATIONAL,0,NATIONAL
224B,1.088,1.419,0.445,111205,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),1112,NORTHERN CALIFORNIA
224B,1.1,1.435,0.42,111209,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),1112,NORTHERN CALIFORNIA
224B,1.058,1.31,0.521,111251,NAPA,1112,NORTHERN CALIFORNIA
224B,1.088,1.419,0.47,111252,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),1112,NORTHERN CALIFORNIA
224B,1.058,1.31,0.47,111253,VALLEJO,1112,NORTHERN CALIFORNIA
224B,1.017,1.093,0.662,111254,BAKERSFIELD,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111255,CHICO,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111256,FRESNO,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111257,HANFORD-CORCORAN,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111258,MADERA,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111259,MERCED,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111260,MODESTO,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111261,REDDING,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.892,111262,RIVERSIDE-SAN BERNARDINO-ONTARIO,1112,NORTHERN CALIFORNIA
224B,1.034,1.156,0.56,111263,SACRAMENTO-ROSEVILLE-FOLSOM,1112,NORTHERN CALIFORNIA
224B,1.035,1.165,0.56,111264,SALINAS,1112,NORTHERN CALIFORNIA
224B,1.1,1.435,0.56,111265,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),1112,NORTHERN CALIFORNIA
224B,1.017,1.209,0.56,111266,SANTA CRUZ-WATSONVILLE,1112,NORTHERN CALIFORNIA
224B,1.027,1.232,0.56,111267,SANTA ROSA-PETALUMA,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111268,STOCKTON,1112,NORTHERN CALIFORNIA
224B,1.014,1.093,0.56,111269,VISALIA,1112,NORTHERN CALIFORNIA
