cpt_code,year,description,modifier,status,rvu_work,rvu_pe_nonfacility,rvu_pe_facility,rvu_mp,rvu_total_nonfacility,rvu_total_facility,conversion_factor,global_period,national_payment_nonfacility,national_payment_facility,state,gpci_work,gpci_pe,gpci_mp,locality,locality_description,state_payment_nonfacility,state_payment_facility
99213,2023,Office o/p est low 20-29 min,Global,A,1.3,1.28,0.55,0.1,2.68,1.95,33.8872,XXX,90.82,66.08,FL,1.0,0.94,1.451,910299,REST OF FLORIDA,89.74,66.49
99213,2023,Office o/p est low 20-29 min,Global,A,1.3,1.28,0.55,0.1,2.68,1.95,33.8872,XXX,90.82,66.08,CA,1.021,1.079,0.579,111275,REST OF CALIFORNIA,93.74,67.05
99213,2023,Office o/p est low 20-29 min,Global,A,1.3,1.28,0.55,0.1,2.68,1.95,33.8872,XXX,90.82,66.08,TX,1.0,1.0,1.0,0,NATIONAL (state not found),90.82,66.08
99213,2023,Office o/p est low 20-29 min,Global,A,1.3,1.28,0.55,0.1,2.68,1.95,33.8872,XXX,90.82,66.08,NY,1.0,1.0,0.79,360221,WYOMING,90.11,65.37
99213,2024,Office o/p est low 20 min,Global,A,1.3,1.33,0.56,0.1,2.73,1.96,33.2875,XXX,90.87,65.24,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,89.77,65.68
99213,2024,Office o/p est low 20 min,Global,A,1.3,1.33,0.56,0.1,2.73,1.96,33.2875,XXX,90.87,65.24,CA,1.014,1.093,0.56,111275,REST OF CALIFORNIA,94.13,66.12
99213,2024,Office o/p est low 20 min,Global,A,1.3,1.33,0.56,0.1,2.73,1.96,33.2875,XXX,90.87,65.24,TX,1.0,1.0,1.0,0,NATIONAL (state not found),90.87,65.24
99213,2024,Office o/p est low 20 min,Global,A,1.3,1.33,0.56,0.1,2.73,1.96,33.2875,XXX,90.87,65.24,NY,1.0,1.0,0.739,360221,WYOMING,90.01,64.37
99213,2025,Office o/p est low 20 min,Global,A,1.3,1.35,0.57,0.1,2.75,1.97,32.3465,XXX,88.95,63.72,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,87.84,64.13
99213,2025,Office o/p est low 20 min,Global,A,1.3,1.35,0.57,0.1,2.75,1.97,32.3465,XXX,88.95,63.72,CA,1.014,1.093,0.56,111275,REST OF CALIFORNIA,92.18,64.6
99213,2025,Office o/p est low 20 min,Global,A,1.3,1.35,0.57,0.1,2.75,1.97,32.3465,XXX,88.95,63.72,TX,1.0,1.0,1.0,0,NATIONAL (state not found),88.95,63.72
99213,2025,Office o/p est low 20 min,Global,A,1.3,1.35,0.57,0.1,2.75,1.97,32.3465,XXX,88.95,63.72,NY,1.0,1.0,0.739,360221,WYOMING,88.11,62.88
99214,2023,Office o/p est mod 30-39 min,Global,A,1.92,1.73,0.82,0.14,3.79,2.88,33.8872,XXX,128.43,97.6,FL,1.0,0.94,1.451,910299,REST OF FLORIDA,127.05,98.07
99214,2023,Office o/p est mod 30-39 min,Global,A,1.92,1.73,0.82,0.14,3.79,2.88,33.8872,XXX,128.43,97.6,CA,1.021,1.079,0.579,111275,REST OF CALIFORNIA,132.43,99.16
99214,2023,Office o/p est mod 30-39 min,Global,A,1.92,1.73,0.82,0.14,3.79,2.88,33.8872,XXX,128.43,97.6,TX,1.0,1.0,1.0,0,NATIONAL (state not found),128.43,97.6
99214,2023,Office o/p est mod 30-39 min,Global,A,1.92,1.73,0.82,0.14,3.79,2.88,33.8872,XXX,128.43,97.6,NY,1.0,1.0,0.79,360221,WYOMING,127.44,96.6
99214,2024,Office o/p est mod 30 min,Global,A,1.92,1.79,0.83,0.14,3.85,2.89,33.2875,XXX,128.16,96.2,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,126.76,96.72
99214,2024,Office o/p est mod 30 min,Global,A,1.92,1.79,0.83,0.14,3.85,2.89,33.2875,XXX,128.16,96.2,CA,1.014,1.093,0.56,111275,REST OF CALIFORNIA,132.54,97.61
99214,2024,Office o/p est mod 30 min,Global,A,1.92,1.79,0.83,0.14,3.85,2.89,33.2875,XXX,128.16,96.2,TX,1.0,1.0,1.0,0,NATIONAL (state not found),128.16,96.2
99214,2024,Office o/p est mod 30 min,Global,A,1.92,1.79,0.83,0.14,3.85,2.89,33.2875,XXX,128.16,96.2,NY,1.0,1.0,0.739,360221,WYOMING,126.94,94.98
99214,2025,Office o/p est mod 30 min,Global,A,1.92,1.8,0.83,0.15,3.87,2.9,32.3465,XXX,125.18,93.8,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,123.95,94.46
99214,2025,Office o/p est mod 30 min,Global,A,1.92,1.8,0.83,0.15,3.87,2.9,32.3465,XXX,125.18,93.8,CA,1.014,1.093,0.56,111275,REST OF CALIFORNIA,129.33,95.04
99214,2025,Office o/p est mod 30 min,Global,A,1.92,1.8,0.83,0.15,3.87,2.9,32.3465,XXX,125.18,93.8,TX,1.0,1.0,1.0,0,NATIONAL (state not found),125.18,93.8
99214,2025,Office o/p est mod 30 min,Global,A,1.92,1.8,0.83,0.15,3.87,2.9,32.3465,XXX,125.18,93.8,NY,1.0,1.0,0.739,360221,WYOMING,123.91,92.54
27447,2024,Total knee arthroplasty,Global,A,19.6,14.96,14.96,4.01,38.57,38.57,33.2875,090,1283.9,1283.9,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,1316.36,1316.36
27447,2024,Total knee arthroplasty,Global,A,19.6,14.96,14.96,4.01,38.57,38.57,33.2875,090,1283.9,1283.9,NY,1.0,1.0,0.739,360221,WYOMING,1249.06,1249.06
27447,2025,Total knee arthroplasty,Global,A,19.6,15.3,15.3,3.98,38.88,38.88,32.3465,090,1257.63,1257.63,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,1288.06,1288.06
27447,2025,Total knee arthroplasty,Global,A,19.6,15.3,15.3,3.98,38.88,38.88,32.3465,090,1257.63,1257.63,NY,1.0,1.0,0.739,360221,WYOMING,1224.03,1224.03
99285,2024,Emergency dept visit hi mdm,Global,A,4.0,0.78,0.78,0.42,5.2,5.2,33.2875,XXX,173.1,173.1,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,178.07,178.07
99285,2024,Emergency dept visit hi mdm,Global,A,4.0,0.78,0.78,0.42,5.2,5.2,33.2875,XXX,173.1,173.1,CA,1.014,1.093,0.56,111275,REST OF CALIFORNIA,171.22,171.22
45380,2024,Colonoscopy and biopsy,Global,A,3.56,8.99,1.92,0.44,12.99,5.92,33.2875,000,432.4,197.06,FL,1.0,0.94,1.467,910299,REST OF FLORIDA,421.29,200.07
45380,2024,Colonoscopy and biopsy,Global,A,3.56,8.99,1.92,0.44,12.99,5.92,33.2875,000,432.4,197.06,TX,1.0,1.0,1.0,0,NATIONAL (state not found),432.4,197.06
