cms_provider_id,facility_name,address,city,state,zip_code,fips_county,ssa_county,phone,facility_type_code,ownership_code,provider_category,provider_subtype,certification_date,participation_date,total_beds,certified_beds,psych_beds,rehab_unit_beds,rehab_beds,hospice_beds,dialysis_beds,aids_beds,alzheimer_beds,ventilator_beds,head_trauma_beds,disabled_children_beds,medicare_snf_beds,medicare_medicaid_snf_beds,medicaid_nf_beds,icf_iid_beds,health_system_name,urban_rural,cbsa_code,ownership_type,facility_type
100007,ADVENTHEALTH ORLANDO,601 E ROLLINS ST,ORLANDO,FL,32803,095,470,4073031976,01,02,01,01,20111029,19660701,3289,3289,10,60,0,0,0,0,0,0,0,0,0,0,0,0,,U,36740,Non-profit - Private,Other
100022,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,FL,33136,086,120,3055851111,01,08,01,01,20200709,19660701,2255,2255,208,90,0,0,0,0,0,0,0,0,0,0,0,0,,U,33124,For-profit - Subchapter S Corp,Other
100006,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,52 W UNDERWOOD ST,ORLANDO,FL,32806,095,470,3218415111,01,02,01,01,20080601,19771001,2024,2024,72,53,0,0,0,0,0,0,0,0,0,0,0,0,,U,36740,Non-profit - Private,Other
102007,FLORIDA STATE HOSPITAL UNIT 31,100 N MAIN ST,CHATTAHOOCHEE,FL,32324,039,190,8506637536,02,06,01,02,20040504,19840701,2007,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,U,45220,For-profit - Corporation,Other
100075,ST JOSEPHS HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,33677,057,280,8138704398,01,01,01,01,20210619,19660701,1367,1367,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,U,45300,Non-profit - Church,Other
100088,BAPTIST MEDICAL CENTER JACKSONVILLE,800 PRUDENTIAL DR,JACKSONVILLE,FL,32207,031,150,9042022000,01,02,01,01,20020510,19660701,1229,1229,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,U,27260,Non-profit - Private,Other
104007,NORTHEAST FLORIDA STATE HOSPITAL,7487 S STATE RD 121,MACCLENNY,FL,32063,003,010,9043302001,04,06,01,04,20250313,19690522,1138,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,U,27260,For-profit - Corporation,Other
100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIR,TAMPA,FL,33606,057,280,8138447000,01,02,01,01,20111028,19660701,1096,1096,0,59,0,0,0,0,0,0,0,0,0,0,0,0,,U,45300,Non-profit - Private,Other
100038,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,FL,33021,011,050,9549872000,01,08,01,01,20030109,19660701,1079,1079,51,89,0,0,0,0,0,0,0,0,0,0,0,0,,U,22744,For-profit - Subchapter S Corp,Other
100113,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,FL,32610,001,000,3522658000,01,02,01,01,20150912,19800701,1054,1054,81,40,0,0,0,0,0,0,0,0,0,0,0,0,,U,23540,Non-profit - Private,Other
104002,G PIERCE WOOD MEMORIAL HOSP,5847 SE HIGHWAY 31GWY 31,ARCADIA,FL,34266,027,130,8134943323,04,05,01,04,20010201,19660701,1034,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,R,99910,For-profit - Partnership,Other
104000,FLORIDA STATE HOSPITAL UNIT 14 PSYCH,100 N MAIN ST,CHATTAHOOCHEE,FL,32324,039,190,8506637536,04,06,01,04,20211028,19660701,949,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,U,45220,For-profit - Corporation,Other
100008,BAPTIST HOSPITAL OF MIAMI,8900 N KENDALL DR,MIAMI,FL,33176,086,120,7865961960,01,02,01,01,20190619,19660701,948,948,0,23,0,0,0,0,0,0,0,0,0,0,0,0,,U,33124,Non-profit - Private,Other
100087,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,SARASOTA,FL,34239,115,570,9419179000,01,08,01,01,20110916,19660701,897,897,53,60,0,0,0,0,0,0,0,0,0,0,0,0,,U,14600,For-profit - Subchapter S Corp,Other
100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,FL,33901,071,350,2393432000,01,08,01,01,20220415,19681001,895,895,0,60,0,0,0,0,0,0,0,0,0,0,0,0,,U,15980,For-profit - Subchapter S Corp,Other
100157,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,LAKELAND,FL,33805,105,520,8636871100,01,02,01,01,20190816,19660701,892,892,96,32,0,0,0,0,0,0,0,0,0,0,0,0,,U,29460,Non-profit - Private,Other
