Type,Rule_ID,Rule_Name,Denial_Code,Description,CPT_HCPCS_Codes,Modifiers,Other_Codes_ICD,Denial_Conditions,Detection_Logic,Risk_Level,Example_Claim
RULE,AMB-001,Non-Ambulance Supplier Billing,AMB-PROV,Ambulance service codes billed by non-Ambulance Supplier. Only certified Ambulance Suppliers are eligible for reimbursement.,"A0021, A0225-A0999",N/A - Edit based on provider type not modifiers,N/A,"PROVIDER_TYPE ≠ AMBULANCE_SUPPLIER, CODE in range A0021/A0225-A0999",Check provider specialty/taxonomy code. If not Ambulance Supplier and claim contains ambulance codes deny claim.,N/A,"CLM-001: Emergency Medicine NPI + A0427 DENIED; CLM-002: Ambulance Supplier + A0427 PAID"
RULE,AMB-002,Missing Origin/Destination Modifier,AMB-MOD-MISS,Ambulance transportation code billed without required two-digit origin/destination modifier.,"A0021, A0225, A0380, A0390, A0420, A0425, A0426, A0427, A0428, A0429, A0430-A0436, A0888, A0998, A0999","REQUIRED: Valid two-digit O/D combination (RH, SH, NH, HH, etc.)",N/A,"CODE in Ambulance Transportation list, MODIFIER is NULL or NOT in valid combination list",If ambulance transport code AND modifier field empty or not valid two-character O/D modifier deny claim.,N/A,"CLM-004: A0427 no modifier DENIED; CLM-005: A0427 + RH PAID"
RULE,AMB-003,Invalid X Modifier Position,AMB-MOD-X,Modifier X (intermediate stop at physician office) used in first position. X must only appear in second position.,"A0021, A0225-A0999","INVALID: XD XE XG XH XI XJ XN XP XR XS XX; VALID: RX SX HX NX PX etc.",N/A,MODIFIER first character = X,Parse two-digit modifier. If first character is X deny claim. X only valid as destination (second position).,N/A,"CLM-008: A0428 + XH DENIED; CLM-009: A0428 + RX PAID"
RULE,AMB-004,Bundled Service Billed Separately,AMB-BUND,Service included in ambulance base rate billed separately. Oxygen drugs supplies EKG equipment are bundled.,"A0426-A0436 (base); E0424-E0480 J-codes A4xxx 93000-93010 (bundled)",None override bundling,N/A,"SAME_DOS, SAME_PROVIDER, AMBULANCE_CODE + BUNDLED_CODE on same claim",If ambulance transport code AND separately billed oxygen/drugs/supplies/EKG on same DOS deny bundled codes.,N/A,"CLM-012: A0427 PAID + E0424 DENIED + 93010 DENIED"
RULE,AMB-005,Ambulance During Inpatient Stay,AMB-INPT,Ambulance transport between facilities during inpatient stay is not separately reimbursable. Excludes admit and discharge dates.,All ambulance codes with modifiers HH DH HD,"HH (Hospital to Hospital), DH (Diagnostic to Hospital), HD (Hospital to Diagnostic)",Cross-reference with inpatient admission/discharge dates,"MODIFIER in (HH DH HD), DOS > ADMIT_DATE, DOS < DISCHARGE_DATE, PATIENT_STATUS = INPATIENT",If modifier HH/DH/HD AND DOS between admit and discharge dates (exclusive) deny claim. Facility responsible for transport.,N/A,"CLM-014: Admit 01/15 DOS 01/17 Discharge 01/20 + HD DENIED; CLM-015: DOS=Admit date PAID"
RULE,AMB-006,ALS2 Without Required Interventions,AMB-ALS2,ALS Level 2 (A0433) billed without documentation of 3+ IV medications (excluding crystalloid) OR one ALS2 procedure.,A0433,N/A - Documentation review required,"ALS2 Procedures: Defibrillation Intubation Central venous line Cardiac pacing Chest decompression Surgical airway Intraosseous line","CODE = A0433, DOCUMENTATION does NOT show 3+ IV meds (excl crystalloid) OR ALS2 procedure",If A0433 billed verify documentation shows 3+ IV meds OR ALS2 procedure. If not downcode to A0427 or deny.,N/A,"CLM-017: A0433 + 2 IV meds DENIED; CLM-018: A0433 + Intubation PAID"
RULE,AMB-007,ALS1 Without Assessment or Intervention,AMB-ALS1,ALS Level 1 (A0426/A0427) billed without documentation of ALS assessment or ALS intervention.,"A0426, A0427",N/A,N/A,"CODE in (A0426 A0427), DOCUMENTATION does NOT show ALS assessment or intervention",If ALS1 code billed verify documentation shows ALS assessment or intervention. If not downcode to BLS (A0428/A0429).,N/A,"CLM-022: A0427 + no interventions DENIED; CLM-023: A0427 + IV started PAID"
RULE,AMB-008,Duplicate Transport Same DOS,AMB-DUP,Multiple ambulance transports billed for same patient same date with same/overlapping origin/destination.,All ambulance transport codes,Same origin/destination modifier on multiple claims,N/A,"SAME_PATIENT, SAME_DOS, SAME_MODIFIER, SAME_AMBULANCE_SUPPLIER",If multiple transport codes same patient same date same supplier same modifier deny duplicate. Allow if docs support multiple trips.,N/A,"CLM-024: RH + A0429 PAID; CLM-025: RH + A0429 same DOS DENIED"
TACTIC,AMB-FT001,Level of Service Upcoding,N/A,Provider bills ALS2 or ALS1 when actual service provided was BLS level.,"A0433 (ALS2), A0427 (ALS1), A0426 (ALS nonemergency)",N/A,N/A,N/A,Bill highest-reimbursement ALS2 code for routine transports. Falsify documentation to show interventions not performed.,HIGH,"CLM-F1: BLS transport billed as A0433 with false intubation documentation"
TACTIC,AMB-FT002,False Origin/Destination Modifiers,N/A,Provider falsifies origin or destination to bill for longer mileage or avoid inpatient overlap denial.,"A0425 (mileage), all transport codes","Using S when pickup was scheduled; Using R when pickup was from facility; Avoiding HH/HD during inpatient","A0380, A0390, A0425 (mileage codes)",N/A,Falsify origin as Scene to bill as emergency. Change facility pickup to Residence to avoid institutional rules. Bill excessive mileage.,HIGH,"CLM-F3: SNF to Hospital billed as SH instead of NH; CLM-F4: Inpatient transport billed as RH instead of HH"
TACTIC,AMB-FT003,Supplies/Equipment Unbundling,N/A,Provider separately bills oxygen drugs supplies EKG that are included in ambulance base rate.,"E0424-E0480 (oxygen), J-codes (drugs), A4xxx (supplies), 93000-93010 (EKG)","59, XE (claiming services are separate)",Any supply drug or equipment codes,N/A,Bill ambulance transport base code then separately bill every supply medication and equipment used during transport.,MEDIUM,"CLM-F5: A0427 + E0424 + J0170 + A4615 + 93010 all billed separately"
TACTIC,AMB-FT004,Provider Type Misrepresentation,N/A,Non-ambulance entity bills ambulance codes by falsely registering as Ambulance Supplier or using ambulance NPI.,"A0021, A0225-A0999",N/A,N/A,N/A,Hospital physician group or other entity bills ambulance codes using affiliated ambulance service NPI/TIN without providing transport. Shell company billing.,HIGH,"CLM-F6: ER Physician group billing A0427; CLM-F7: Shell company billing A0429 no transport"
TACTIC,AMB-FT005,Inpatient Transport Concealment,N/A,Provider manipulates modifiers to conceal that transport occurred during inpatient stay avoiding AMB-INPT denial.,All transport codes,"Using RH instead of HH; Using NH instead of HH; Falsifying origin/destination",N/A,N/A,When patient is inpatient and transported to another facility bill with RH or other modifier instead of HD/DH/HH to avoid inpatient overlap edit.,HIGH,"CLM-F8: Inpatient Day 3 Hospital to MRI billed as RD; CLM-F9: Inpatient Day 5 billed as NJ"
TACTIC,AMB-FT006,Scene Call Fabrication,N/A,Provider bills emergency transport with S (scene) origin when transport was scheduled or non-emergency.,"A0427 (ALS emergency), A0429 (BLS emergency)","S_ modifiers (SH, SD, SN, etc.)",N/A,N/A,Bill scheduled dialysis or nursing home transports as scene calls (emergency) to receive higher emergency rate reimbursement.,HIGH,"CLM-F10: Scheduled dialysis billed A0427+SH instead of A0426+RJ; CLM-F11: NH visit billed A0429+SH instead of A0428+NP"
TACTIC,AMB-FT007,Mileage Inflation,N/A,Provider bills excessive mileage that does not match actual point-to-point distance.,"A0380 (BLS mileage), A0390 (ALS mileage), A0425 (ground mileage)",N/A,N/A,N/A,Bill mileage significantly higher than actual distance. Claim detours or traffic routes to justify inflated mileage. Pattern: 2-3x actual distance.,HIGH,"CLM-F12: 8 actual miles billed as 24 miles; CLM-F13: 5 actual miles billed as 15 miles"
TACTIC,AMB-FT008,Duplicate Transport Billing,N/A,Provider bills same transport multiple times or bills both transporting company and backup ambulance.,All ambulance transport codes,None,N/A,N/A,Submit same claim multiple times. Bill for ambulance that responded but did not transport. Bill round trips as two separate one-way transports.,MEDIUM,"CLM-F14A: Ambulance A transported PAID; CLM-F14B: Ambulance B only responded DENIED"
